	A1	A2	A3	B1	B2	B3	C1	C2	C3	D1	D2	D3
Cluster-137.0	0	0	0	0	0	0	0	2	0	0	12	0
Cluster-138.0	0	0	0	0	0	0	0	10	0	2	0	1
Cluster-139.0	0	0	0	0	0	0	0	4	2	1	2	1
Cluster-140.0	0	0	0	0	0	0	0	6	2	0	0	3
Cluster-141.0	0	0	0	0	0	0	0	2	1	4	4	0
Cluster-142.0	0	0	0	0	0	0	0	7	0	1	2	0
Cluster-143.0	0	0	0	0	0	0	0	8	0	0	4	0
Cluster-143.1	41	52	30	26	31	26	26	34	37	14	21	17
Cluster-143.2	107	48	23	18	32	33	53	36	12	18	15	14
Cluster-144.0	0	0	0	0	0	0	0	1	0	8	0	5
Cluster-145.0	0	0	0	0	0	0	0	1	3	4	1	2
Cluster-146.0	0	0	0	0	0	0	0	4	0	0	3	3
Cluster-146.1	285	154	115	127	116	127	173	134	65	80	127	56
Cluster-146.2	38	23	9	24	17	8	15	19	20	9	21	17
Cluster-147.0	0	0	0	0	0	0	0	1	1	10	14	1
Cluster-148.0	0	0	0	0	0	0	13	0	0	0	0	1
Cluster-149.0	0	0	0	0	0	0	1	2	0	10	0	0
Cluster-150.0	0	0	0	0	0	0	1	7	2	1	0	1
Cluster-151.0	0	0	0	0	0	0	1	0	0	1	4	4
Cluster-152.0	0	0	0	0	0	0	1	12	0	0	1	1
Cluster-153.0	0	0	0	0	0	0	1	0	0	11	0	0
Cluster-154.0	0	0	0	0	0	0	4	0	4	2	0	0
Cluster-155.0	0	0	0	0	0	0	7	0	0	0	0	3
Cluster-156.0	0	0	0	0	0	0	3	4	2	0	1	0
Cluster-157.0	0	0	0	0	0	0	2	3	1	3	0	3
Cluster-158.0	0	0	0	0	0	0	2	3	6	0	0	0
Cluster-159.0	0	0	0	0	0	0	2	0	4	2	5	1
Cluster-159.1	3	9	0	0	10	0	0	3	4	0	2	3
Cluster-159.2	11	4	5	7	0	3	6	3	0	0	0	0
Cluster-159.3	28	63	24	16	24	17	19	26	41	14	25	22
Cluster-160.0	0	0	0	0	0	0	3	7	0	1	0	1
Cluster-161.0	0	0	0	0	0	0	2	4	0	0	5	0
Cluster-162.0	0	0	0	0	0	0	2	5	1	0	3	1
Cluster-163.0	0	0	0	0	0	0	2	8	1	0	0	0
Cluster-164.0	0	0	0	0	0	0	6	0	0	9	0	7
Cluster-165.0	0	0	0	0	0	0	2	0	2	3	1	3
Cluster-166.0	0	0	0	0	0	0	2	0	0	0	3	5
Cluster-167.0	0	0	0	0	0	0	16	11	11	12	7	12
Cluster-168.0	0	0	0	0	0	0	15	0	0	8	0	4
Cluster-169.0	0	0	0	0	0	0	9	0	2	0	0	0
Cluster-170.0	0	0	0	0	0	0	1	1	2	3	3	0
Cluster-171.0	0	0	0	0	0	0	5	0	9	0	0	0
Cluster-172.0	0	0	0	0	0	0	9	0	2	0	1	0
Cluster-173.0	0	0	0	0	0	0	2	4	4	0	0	3
Cluster-174.0	0	0	0	0	0	0	1	5	0	2	2	1
Cluster-175.0	0	0	0	0	0	0	9	4	3	0	12	2
Cluster-176.0	0	0	0	0	0	0	1	1	6	2	0	0
Cluster-177.0	0	0	0	0	0	0	9	2	1	0	0	0
Cluster-178.0	0	0	0	0	0	0	1	0	6	2	2	7
Cluster-179.0	0	0	0	0	0	0	1	4	2	0	3	0
Cluster-180.0	0	0	0	0	0	0	2	0	0	5	7	0
Cluster-181.0	0	0	0	0	0	0	5	0	11	1	0	0
Cluster-181.1	0	4	0	0	0	0	9	1	5	1	8	1
Cluster-181.2	25	14	16	8	6	7	3	10	1	2	1	3
Cluster-182.0	0	0	0	0	0	0	2	0	8	1	0	1
Cluster-183.0	0	0	0	0	0	0	1	5	4	1	0	0
Cluster-184.0	0	0	0	0	0	0	1	1	1	7	1	0
Cluster-185.0	0	0	0	0	0	0	7	5	8	0	0	1
Cluster-186.0	0	0	0	0	0	0	31	28	15	31	33	8
Cluster-187.0	0	0	0	0	0	0	4	1	1	2	2	3
Cluster-188.0	0	0	0	0	0	0	5	1	3	0	0	2
Cluster-189.0	0	0	0	0	0	0	2	5	4	0	0	0
Cluster-190.0	0	0	0	0	0	0	8	2	5	0	0	0
Cluster-191.0	0	0	0	0	0	0	10	0	9	0	0	0
Cluster-192.0	0	0	0	0	0	0	1	4	1	0	4	0
Cluster-193.0	0	0	0	0	0	0	2	2	1	0	3	2
Cluster-194.0	0	0	0	0	0	0	10	7	1	0	0	0
Cluster-195.0	0	0	0	0	0	0	5	0	2	4	4	0
Cluster-196.0	0	0	0	0	0	0	12	0	0	0	0	0
Cluster-197.0	0	0	0	0	0	0	5	4	0	2	0	0
Cluster-198.0	0	0	0	0	0	0	3	3	2	0	3	0
Cluster-199.0	0	0	0	0	0	0	2	1	0	6	8	3
Cluster-200.0	0	0	0	0	0	0	3	0	0	0	9	0
Cluster-201.0	0	0	0	0	0	0	13	0	0	0	1	0
Cluster-202.0	0	0	0	0	0	0	7	7	0	0	11	1
Cluster-203.0	0	0	0	0	0	0	11	0	0	4	3	4
Cluster-204.0	0	0	0	0	0	0	16	4	1	2	0	0
Cluster-205.0	0	0	0	0	0	0	10	16	0	5	0	0
Cluster-206.0	0	0	0	0	0	0	7	0	3	0	0	0
Cluster-207.0	0	0	0	0	0	0	14	0	0	3	0	0
Cluster-208.0	0	0	0	0	0	0	21	24	0	1	0	18
Cluster-209.0	0	0	0	0	0	0	10	7	4	2	0	3
Cluster-210.0	0	0	0	0	0	0	1	1	10	1	0	0
Cluster-211.0	0	0	0	0	0	0	7	22	0	2	0	0
Cluster-212.0	0	0	0	0	0	0	6	13	2	0	0	10
Cluster-213.0	0	0	0	0	0	0	20	0	10	0	4	21
Cluster-214.0	0	0	0	0	0	0	9	11	5	0	0	0
Cluster-215.0	0	0	0	0	0	0	9	15	0	0	0	13
Cluster-216.0	0	0	0	0	0	0	6	2	2	2	3	0
Cluster-217.0	0	0	0	0	0	0	4	0	1	0	7	0
Cluster-218.0	0	0	0	0	0	0	2	0	4	0	0	12
Cluster-219.0	0	0	0	0	0	0	4	4	3	1	0	3
Cluster-220.0	0	0	0	0	0	0	12	0	0	0	0	0
Cluster-221.0	0	0	0	0	0	0	1	3	5	9	2	4
Cluster-222.0	0	0	0	0	0	0	12	11	0	0	8	0
Cluster-223.0	0	0	0	0	0	0	18	0	0	0	0	0
Cluster-224.0	0	0	0	0	0	0	8	4	3	0	1	0
Cluster-225.0	0	0	0	0	0	0	10	1	0	0	0	0
Cluster-225.1	0	0	0	0	0	0	5	0	2	1	0	1
Cluster-226.0	0	0	0	0	0	0	4	4	2	0	3	0
Cluster-227.0	0	0	0	0	0	0	5	6	1	0	0	1
Cluster-228.0	0	0	0	0	0	0	1	0	0	3	2	4
Cluster-229.0	0	0	0	0	0	0	1	3	1	1	1	4
Cluster-230.0	0	0	0	0	0	0	23	11	17	0	0	24
Cluster-231.0	0	0	0	0	0	0	6	5	1	1	4	2
Cluster-232.0	0	0	0	0	0	0	1	3	2	0	2	2
Cluster-233.0	0	0	0	0	0	0	12	0	0	0	11	0
Cluster-233.1	0	0	0	0	0	0	5	0	0	0	6	0
Cluster-234.0	0	0	0	0	0	0	12	0	0	0	0	0
Cluster-235.0	0	0	0	0	0	0	4	1	1	5	1	0
Cluster-236.0	0	0	0	0	0	0	34	19	1	4	5	1
Cluster-237.0	0	0	0	2	3	0	9	15	14	7	7	4
Cluster-237.1	0	0	10	5	7	2	21	39	8	8	6	5
Cluster-238.0	0	0	0	0	0	0	6	4	1	0	0	1
Cluster-239.0	0	0	0	0	0	0	6	1	4	0	0	0
Cluster-240.0	0	0	0	0	0	0	1	9	3	0	1	4
Cluster-241.0	0	0	0	0	0	0	10	0	0	0	1	0
Cluster-241.1	0	0	7	1	1	0	9	21	10	0	0	1
Cluster-241.2	0	0	0	0	0	0	4	13	6	0	1	0
Cluster-242.0	0	0	0	0	0	0	4	4	0	1	2	1
Cluster-243.0	0	0	0	0	0	0	14	0	0	0	0	2
Cluster-244.0	0	0	0	0	0	0	9	18	10	1	1	10
Cluster-245.0	0	0	0	0	0	0	16	4	10	4	4	7
Cluster-246.0	0	0	0	0	0	0	11	0	12	0	0	0
Cluster-247.0	0	0	0	0	0	0	4	6	0	1	1	1
Cluster-248.0	0	0	0	0	0	0	13	0	2	4	0	0
Cluster-249.0	0	0	0	0	0	0	6	0	0	4	0	0
Cluster-250.0	0	0	0	0	0	0	4	1	8	0	0	0
Cluster-251.0	0	0	0	0	0	0	3	6	1	2	0	1
Cluster-252.0	0	0	0	0	0	0	18	0	0	0	2	0
Cluster-253.0	0	0	0	0	0	0	1	4	5	0	0	1
Cluster-254.0	0	0	0	0	0	0	71	122	31	28	17	15
Cluster-254.1	3	0	0	1	0	0	48	57	23	27	9	20
Cluster-255.0	14	4	14	4	18	20	7	5	1	3	3	3
Cluster-255.1	1	2	6	24	34	81	20	32	0	40	41	22
Cluster-255.2	0	0	2	0	0	1	20	0	11	0	1	8
Cluster-255.3	0	0	0	1	0	0	6	0	1	2	0	4
Cluster-256.0	0	0	0	0	0	0	2	0	0	21	7	8
Cluster-257.0	0	0	0	0	0	0	1	0	0	9	2	6
Cluster-258.0	0	0	0	0	0	0	11	0	0	0	0	0
Cluster-259.0	0	0	0	0	0	0	2	5	2	6	0	1
Cluster-260.0	0	0	0	0	0	0	7	0	2	2	4	6
Cluster-261.0	0	0	0	0	0	0	1	2	3	4	0	0
Cluster-262.0	0	0	0	0	0	0	3	4	9	0	2	2
Cluster-263.0	0	0	0	0	0	0	11	0	3	0	0	0
Cluster-264.0	0	0	0	0	0	0	12	12	0	1	3	1
Cluster-265.0	11	3	4	5	3	8	8	5	2	3	4	3
Cluster-265.1	2	0	0	1	0	0	7	1	6	2	8	1
Cluster-265.2	0	0	0	1	0	0	9	2	2	3	2	0
Cluster-266.0	0	0	0	0	0	0	21	4	1	0	1	2
